INSEE;NOM;NOM_COUV;COM/EPCI;POP;STRATE;X;Y;NOM2;CP
14027;Les Monts d'Aunay;Les Monts d'Aunay;COM;4595;3;-71538;6272090.259;Les Monts d'Aunay (14260);14260
14030;Authie;Authie;COM;1666;2;-47964;6309830.614;Authie (14280);14280
14032;Les Authieux-sur-Calonne;Les Authieux-sur-Calonne;COM;275;0;30595;6323278.577;Les Authieux-sur-Calonne (14130);14130
14033;Auvillars;Auvillars;COM;212;0;8380;6308453.848;Auvillars (14340);14340
14034;Avenay;Avenay;COM;572;1;-51813;6291130.902;Avenay (14210);14210
14035;Balleroy-sur-Drôme;Balleroy-sur-Drôme;COM;1346;2;-93224;6308062.48;Balleroy-sur-Drôme (14490);14490
14036;Banneville-la-Campagne;Banneville-la-Campagne;COM;171;0;-24877;6303550.427;Banneville-la-Campagne (14940);14940
14037;Malherbe-sur-Ajon;Malherbe-sur-Ajon;COM;567;1;-64004;6283438.949;Malherbe-sur-Ajon (14260);14260
14038;Banville;Banville;COM;792;1;-54083;6327577.283;Banville (14480);14480
14039;Barbery;Barbery;COM;802;1;-38410;6277327.076;Barbery (14220);14220
14040;Barbeville;Barbeville;COM;210;0;-83955;6321480.162;Barbeville (14400);14400
14041;Barneville-la-Bertran;Barneville-la-Bertran;COM;123;0;20175;6341428.18;Barneville-la-Bertran (14600);14600
14042;Baron-sur-Odon;Baron-sur-Odon;COM;1005;2;-53658;6296706.969;Baron-sur-Odon (14210);14210
14043;Barou-en-Auge;Barou-en-Auge;COM;69;0;-4328;6263060.954;Barou-en-Auge (14620);14620
14044;Basly;Basly;COM;1065;2;-47205;6322047.92;Basly (14610);14610
14045;Basseneville;Basseneville;COM;249;0;-14992;6309992.073;Basseneville (14670);14670
14046;Bavent;Bavent;COM;1932;2;-20343;6313356.42;Bavent (14860);14860
14047;Bayeux;Bayeux;COM;12640;4;-78498;6322135.549;Bayeux (14400);14400
14049;Bazenville;Bazenville;COM;141;0;-65113;6326003.013;Bazenville (14480);14480
14050;La Bazoque;La Bazoque;COM;185;0;-97721;6300939.998;La Bazoque (14490);14490
14053;Beaumais;Beaumais;COM;167;0;-7954;6257732.701;Beaumais (14620);14620
14054;Beaumesnil;Beaumesnil;COM;202;0;-107917;6257360.586;Beaumesnil (14380);14380
14055;Beaumont-en-Auge;Beaumont-en-Auge;COM;409;0;12271;6320388.098;Beaumont-en-Auge (14950);14950
14057;Bellengreville;Bellengreville;COM;1470;2;-25880;6295343.324;Bellengreville (14370);14370
14059;Benerville-sur-Mer;Benerville-sur-Mer;COM;420;0;5359;6332455.197;Benerville-sur-Mer (14910);14910
14060;Bénouville;Bénouville;COM;2039;2;-32060;6316367;Bénouville (14970);14970
14061;Souleuvre en Bocage;Souleuvre en Bocage;COM;8848;3;-94785;6267273.287;Souleuvre en Bocage (14260);14260
14062;Bény-sur-Mer;Bény-sur-Mer;COM;444;0;-48638;6324302.855;Bény-sur-Mer (14440);14440
14063;Bernesq;Bernesq;COM;213;0;-103642;6321400.658;Bernesq (14710);14710
14064;Bernières-d'Ailly;Bernières-d'Ailly;COM;221;0;-11421;6265915.571;Bernières-d'Ailly (14170);14170
14066;Bernières-sur-Mer;Bernières-sur-Mer;COM;2330;2;-46556;6329349.944;Bernières-sur-Mer (14990);14990
14068;Biéville-Beuville;Biéville-Beuville;COM;3646;3;-37535;6315562.269;Biéville-Beuville (14112);14112
14069;Beuvillers;Beuvillers;COM;1331;2;27733;6296316.345;Beuvillers (14100);14100
14070;Beuvron-en-Auge;Beuvron-en-Auge;COM;197;0;-4796;6308153.008;Beuvron-en-Auge (14430);14430
14076;Blainville-sur-Orne;Blainville-sur-Orne;COM;5761;3;-33881;6313733.745;Blainville-sur-Orne (14550);14550
